Watchlist 'Russell 3000'

Russell 3000
Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
A,AGILENT TECHNOLOGIES INC COM,"AGILENT TECHNOLOGIES, INC.","38,309 M",Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
AA,ALCOA CORPORATION COM,ALCOA CORP,"11,576 M",Materials,Metals & Mining,Aluminum
AAL,AMERICAN AIRLINES GROUP INC COM,AMERICAN AIRLINES GROUP INC,"10,860 M",Industrials,Airlines,Airlines
AAN,THE AARONS COMPANY INC COM,AARON'S COMPANY INC,560 M,Consumer Discretionary,Specialty Retail,Homefurnishing Retail
AAOI,APPLIED OPTOELECTRONICS INC COM,APPLIED OPTOELECTRONICS INC,62 M,Information Technology,Communications Equipment,Communications Equipment
AAON,AAON INC COM,"AAON, INC.","2,942 M",Industrials,Building Products,Building Products
AAP,ADVANCE AUTO PARTS INC COM,"ADVANCE AUTO PARTS, INC.","11,525 M",Consumer Discretionary,Specialty Retail,Automotive Retail
AAPL,APPLE INC COM,APPLE INC.,"2,373,880 M",Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
AAT,AMERICAN ASSETS TRUST INC COM USD0.01,"AMERICAN ASSETS TRUST, INC","1,991 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
AAWW,ATLAS AIR WORLDWIDE HLDGS INC COM,ATLAS AIR WORLDWIDE HOLDINGS INCORPORATED,"1,999 M",Industrials,Air Freight & Logistics,Air Freight & Logistics
ABBV,ABBVIE INC COM,ABBVIE INC,"261,426 M",Health Care,Biotechnology,Biotechnology
ABC,AMERISOURCEBERGEN CORPORATION COM,AMERISOURCEBERGEN CORPORATION,"31,103 M",Health Care,Health Care Providers & Services,Health Care Distributors
ABCB,AMERIS BANCORP COM,AMERIS BANCORP,"3,154 M",Financials,Banks,Regional Banks
ABEO,ABEONA THERAPEUTICS INC COM,ABEONA THERAPEUTICS INC,23 M,Health Care,Biotechnology,Biotechnology
ABG,ASBURY AUTOMOTIVE GROUP INC COM,"ASBURY AUTOMOTIVE GROUP, INCORPORATED","3,898 M",Consumer Discretionary,Specialty Retail,Automotive Retail
ABM,ABM INDUSTRIES INC COM,ABM INDUSTRIES INCORPORATED,"3,279 M",Industrials,Commercial Services & Supplies,Environmental & Facilities Services
ABMD,ABIOMED INC COM,"ABIOMED, INC.","12,043 M",Health Care,Health Care Equipment & Supplies,Health Care Equipment
ABR,ARBOR REALTY TRUST INC COM USD0.01,"ARBOR REALTY TRUST, INC.","2,619 M",Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
ABT,ABBOTT LABORATORIES COM,ABBOTT LABORATORIES,"204,922 M",Health Care,Health Care Equipment & Supplies,Health Care Equipment
ABTX,ALLEGIANCE BANCSHA COM,ALLEGIANCE BANCSHARES INC,828 M,Financials,Banks,Regional Banks
AC,ASSOCIATED CAP GROUP INC COM CL A,ASSOCIATED CAPITAL GROUP INC,870 M,Financials,Capital Markets,Asset Management & Custody Banks
ACA,ARCOSA INC COM,ARCOSA INC,"2,578 M",Industrials,Construction & Engineering,Construction & Engineering
ACAD,ACADIA PHARMACEUTICALS INC COM,"ACADIA PHARMACEUTICALS, INC.","2,750 M",Health Care,Biotechnology,Biotechnology
ACC,AMER CAMPUS COMMUNITIES INC COM USD0.01,"AMERICAN CAMPUS COMMUNITIES, INC.","9,086 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
ACCO,ACCO BRANDS CORPORATION COM,ACCO BRANDS CORPORATION,703 M,Industrials,Commercial Services & Supplies,Office Services & Supplies
ACEL,ACCEL ENTERTAINMENT INC COM CL A,ACCEL ENTERTAINMENT INC,"1,019 M",Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming
ACGL,ARCH CAPITAL GROUP COM,ARCH CAPITAL GROUP LTD.,"17,682 M",Financials,Insurance,Property & Casualty Insurance
ACHC,ACADIA HEALTHCARE COM,ACADIA HEALTHCARE COMPANY INC,"6,426 M",Health Care,Health Care Providers & Services,Health Care Facilities
ACIW,ACI WORLDWIDE INC COM,ACI WORLDWIDE INCORPORATION,"3,172 M",Information Technology,Software,Application Software
ACLS,AXCELIS TECHNOLOGIES INC COM,"AXCELIS TECHNOLOGIES, INC.","2,073 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
ACM,AECOM COM,AECOM,"9,839 M",Industrials,Construction & Engineering,Construction & Engineering
ACN,ACCENTURE PLC COM,ACCENTURE PLC,"193,097 M",Information Technology,IT Services,IT Consulting & Other Services
ACNB,ACNB CORP COM,ACNB CORPORATION,304 M,Financials,Banks,Regional Banks
ACRE,ARES COMMERCIAL REAL ESTATE COM USD0.01,ARES COMMERCIAL REAL ESTATE CORP,790 M,Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
ACRX,ACELRX PHARMACEUTICALS INC COM,ACELRX PHARMACEUTICALS INC,38 M,Health Care,Pharmaceuticals,Pharmaceuticals
ACTG,ACACIA RESEARCH CORP COM,ACACIA RESEARCH - ACACIA TECHNOLOGIES,205 M,Industrials,Professional Services,Research & Consulting Services
ADBE,ADOBE INC COM,ADOBE INC,"205,568 M",Information Technology,Software,Application Software
ADC,AGREE REALTY CORP COM USD0.0001,AGREE REALTY CORPORATION,"5,256 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
ADES,ADV EMISSIONS SOLUTIONS INC COM,ADVANCED EMISSIONS SOLUTIONS INC,95 M,Materials,Chemicals,Specialty Chemicals
ADI,ANALOG DEVICES INC COM,ANALOG DEVICES INCORPORATED,"86,298 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
ADM,ARCHER-DANIELS-MIDLAND CO COM,ARCHER-DANIELS-MIDLAND CO,"49,822 M",Consumer Staples,Food Products,Agricultural Products
ADMA,ADMA BIOLOGICS INC COM,ADMA BIOLOGICS INC,400 M,Health Care,Biotechnology,Biotechnology
ADNT,ADIENT PLC COM,ADIENT PLC,"3,429 M",Consumer Discretionary,Auto Components,Auto Parts & Equipment
ADP,AUTOMATIC DATA PROCESSING INC COM,"AUTOMATIC DATA PROCESSING, INC.","92,370 M",Information Technology,IT Services,Data Processing & Outsourced Services
ADPT,ADAPTIVE BIOTECHNOLOGIES CORP COM,ADAPTIVE BIOTECHNOLOGIES CORP,"1,072 M",Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
ADSK,AUTODESK INC COM,"AUTODESK, INC.","45,518 M",Information Technology,Software,Application Software
ADT,ADT INC COM,ADT INC,"6,797 M",Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
ADTN,ADTRAN INC COM,"ADTRAN, INC.",949 M,Information Technology,Communications Equipment,Communications Equipment
ADUS,ADDUS HOMECARE CORP COM,ADDUS HOMECARE CORPORATION,"1,330 M",Health Care,Health Care Providers & Services,Health Care Services
ADVM,ADVERUM BIOTECHNOLOGIES INC COM,ADVERUM BIOTECHNOLOGIES INC,92 M,Health Care,Biotechnology,Biotechnology
AE,ADAMS RESOURCES & ENERGY INC COM,"ADAMS RESOURCES & ENERGY, INC.",162 M,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
AEE,AMEREN CORP COM,AMEREN CORPORATION,"24,330 M",Utilities,Multi-Utilities,Multi-Utilities
AEIS,ADVANCED ENERGY INDUSTRIES COM,"ADVANCED ENERGY INDUSTRIES, INC.","3,044 M",Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments
AEL,AMER EQY INVEST LIFE HOLDING C COM,AMERICAN EQUITY INVESTMENT LIFE HOLDING COMPANY,"3,742 M",Financials,Insurance,Life & Health Insurance
AEO,AMERICAN EAGLE OUTFITTERS INC COM,AMERICAN EAGLE OUTFITTERS INCORPORATED,"2,100 M",Consumer Discretionary,Specialty Retail,Apparel Retail
AEP,AMERICAN ELECTRIC POWER CO INC COM,"AMERICAN ELECTRIC POWER COMPANY, INC.","52,402 M",Utilities,Electric Utilities,Electric Utilities
AERI,AERIE PHARMACEUTICALS INC COM,AERIE PHARMACEUTICALS INC,270 M,Health Care,Pharmaceuticals,Pharmaceuticals
AES,AES CORP COM,AES CORP,"14,839 M",,,
AFG,AMERICAN FINANCIAL GROUP INC COM,"AMERICAN FINANCIAL GROUP, INC.","11,871 M",Financials,Insurance,Property & Casualty Insurance
AFL,AFLAC INC COM,AFLAC INCORPORATED,"38,102 M",Financials,Insurance,Life & Health Insurance
AFMD,AFFIMED N V COM,AFFIMED NV,478 M,Health Care,Biotechnology,Biotechnology
AGCO,AGCO CORP COM,AGCO CORPORATION,"9,710 M",Industrials,Machinery,Agricultural & Farm Machinery
AGEN,AGENUS INC COM,AGENUS INCORPORATION,451 M,Health Care,Biotechnology,Biotechnology
AGFS,AGROFRESH SOLUTIONS INC COM,<empty>,95 M,Materials,Chemicals,Fertilizers & Agricultural Chemicals
AGIO,AGIOS PHARMACEUTICALS INC COM,AGIOS PHARMACEUTICALS INC,"1,089 M",Health Care,Biotechnology,Biotechnology
AGLE,AEGLEA BIOTHERAPEUTICS INC COM,AEGLEA BIO THERAPEUTICS INC,40 M,Health Care,Biotechnology,Biotechnology
AGM,FED AGRI MTG CORP COM CL C,FEDERAL AGRICULTURAL MORTGAGE CORPORATION,"1,136 M",Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
AGNC,AGNC INVESTMENT CORP COM,AGNC INVESTMENT CORP,"6,361 M",Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs
AGO,ASSURED GUARANTY LTD COM,<empty>,"3,741 M",Financials,Insurance,Property & Casualty Insurance
AGR,AVANGRID INC COM,AVANGRID INC,"18,394 M",Utilities,Electric Utilities,Electric Utilities
AGRX,AGILE THERAPEUTICS INC COM,AGILE THERAPEUTICS INC,6.1 M,Health Care,Pharmaceuticals,Pharmaceuticals
