Watchlist 'S&P 400'

S&P 400
Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
ACC,AMER CAMPUS COMMUNITIES INC COM USD0.01,"AMERICAN CAMPUS COMMUNITIES, INC.","9,086 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
ACHC,ACADIA HEALTHCARE COM,ACADIA HEALTHCARE COMPANY INC,"6,426 M",Health Care,Health Care Providers & Services,Health Care Facilities
ACIW,ACI WORLDWIDE INC COM,ACI WORLDWIDE INCORPORATION,"3,172 M",Information Technology,Software,Application Software
ACM,AECOM COM,AECOM,"9,839 M",Industrials,Construction & Engineering,Construction & Engineering
ADNT,ADIENT PLC COM,ADIENT PLC,"3,419 M",Consumer Discretionary,Auto Components,Auto Parts & Equipment
ADS,ALLIANCE DATA SYSTEM COM,<empty>,"2,837 M",Information Technology,IT Services,Data Processing & Outsourced Services
AEO,AMERICAN EAGLE OUTFITTERS INC COM,AMERICAN EAGLE OUTFITTERS INCORPORATED,"2,099 M",Consumer Discretionary,Specialty Retail,Apparel Retail
AFG,AMERICAN FINANCIAL GROUP INC COM,"AMERICAN FINANCIAL GROUP, INC.","11,871 M",Financials,Insurance,Property & Casualty Insurance
AGCO,AGCO CORP COM,AGCO CORPORATION,"9,706 M",Industrials,Machinery,Agricultural & Farm Machinery
AIRC,APARTMENT INCOME REIT CORP COM USD0.01,APARTMENT INCOME REIT CORP,"6,900 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Residential REITs
ALE,ALLETE INC COM,"ALLETE, INC.","3,519 M",Utilities,Electric Utilities,Electric Utilities
AM,ANTERO MIDSTREAM CORPORATION COM,ANTERO MIDSTREAM CORP,"5,260 M",Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
AMED,AMEDISYS INC COM,"AMEDISYS, INC.","3,744 M",Health Care,Health Care Providers & Services,Health Care Services
AMG,AFFILIATED MANAGERS GROUP COM,"AFFILIATED MANAGERS GROUP, INC.","5,139 M",Financials,Capital Markets,Asset Management & Custody Banks
AMKR,AMKOR TECHNOLOGY INC COM,"AMKOR TECHNOLOGY, INC","4,989 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
AN,AUTONATION INC COM,"AUTONATION, INC.","6,897 M",Consumer Discretionary,Specialty Retail,Automotive Retail
ARW,ARROW ELECTRONICS INC COM,"ARROW ELECTRONICS, INC.","8,079 M",Information Technology,"Electronic Equipment, Instruments & Components",Technology Distributors
ARWR,ARROWHEAD PHARMACEUTICALS INC COM,ARROWHEAD PHARMACEUTICALS INC,"3,681 M",Health Care,Biotechnology,Biotechnology
ASB,ASSOCIATED BANC-CORP COM,ASSOCIATED BANC-CORP,"3,135 M",Financials,Banks,Regional Banks
ASGN,ASGN INCORPORATED COM,ASGN INC,"4,911 M",Industrials,Professional Services,Human Resource & Employment Services
ASH,ASHLAND GLOBAL HOLDINGS INC COM,ASHLAND GLOBAL HOLDINGS INC,"5,785 M",Materials,Chemicals,Specialty Chemicals
ATR,APTARGROUP INC COM,APTARGROUP INCORPORATED,"7,147 M",Materials,Containers & Packaging,Metal & Glass Containers
AVNT,AVIENT CORPORATION COM,AVIENT CORP,"4,679 M",Materials,Chemicals,Specialty Chemicals
AVT,AVNET INC COM,"AVNET, INC.","4,677 M",Information Technology,"Electronic Equipment, Instruments & Components",Technology Distributors
AXON,AXON ENTERPRISE INC COM,AXON ENTERPRISE INC,"7,367 M",Industrials,Aerospace & Defense,Aerospace & Defense
AYI,ACUITY BRANDS INC COM,"ACUITY BRANDS, INC.","6,212 M",Industrials,Electrical Equipment,Electrical Components & Equipment
AZPN,ASPEN TECHNOLOGY INC COM,ASPEN TECHNOLOGY INC,"12,450 M",Information Technology,Software,Application Software
BC,BRUNSWICK CORP COM,BRUNSWICK CORPORATION,"5,558 M",Consumer Discretionary,Leisure Products,Leisure Products
BCO,BRINK'S COMPANY COM,BRINK'S COMPANY (THE),"2,834 M",Industrials,Commercial Services & Supplies,Security & Alarm Services
BDC,BELDEN INC COM,BELDEN INC.,"2,536 M",Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components
BHF,BRIGHTHOUSE FINL INC COM,BRIGHTHOUSE FINANCIAL INC,"3,614 M",Financials,Insurance,Life & Health Insurance
BJ,BJS WHSL CLUB HLDGS INC COM,BJS WHOLESALE CLUB HOLDINGS INC,"7,975 M",Consumer Staples,Food & Staples Retailing,Hypermarkets & Super Centers
BKH,BLACK HILLS CORP COM,BLACK HILLS CORPORATION,"4,908 M",Utilities,Multi-Utilities,Multi-Utilities
BLD,TOPBUILD CORP COM,TOPBUILD CORP,"6,601 M",Consumer Discretionary,Household Durables,Homebuilding
BLDR,BUILDERS FIRSTSOURCE INC COM,"BUILDERS FIRSTSOURCE, INC.","11,295 M",Industrials,Building Products,Building Products
BLKB,BLACKBAUD INC COM,"BLACKBAUD, INC.","3,411 M",Information Technology,Software,Application Software
BOH,BANK OF HAWAII CORPORATION COM,BANK OF HAWAII CORPORATION,"3,188 M",Financials,Banks,Regional Banks
BRKS,BROOKS AUTOMATION INC COM,<empty>,<empty>,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
BRO,BROWN & BROWN INC COM,"BROWN & BROWN, INC.","16,685 M",Financials,Insurance,Insurance Brokers
BRX,BRIXMOR PROPERTY GROUP INC COM USD0.01,BRIXMOR PROPERTY GROUP INC,"7,153 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
BXS,BANCORPSOUTH BANK N/C 10/29/21 12740C103,BANCORPSOUTH BANK,"3,123 M",Financials,Banks,Regional Banks
BYD,BOYD GAMING CORP COM,BOYD GAMING CORPORATION,"6,532 M",Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming
CABO,CABLE ONE INC COM,CABLE ONE INC,"7,635 M",Communication Services,Media,Cable & Satellite
CACI,CACI INTERNATIONAL INC COM CL A,CACI INTERNATIONAL INC,"6,648 M",Industrials,Professional Services,Research & Consulting Services
CAR,AVIS BUDGET GROUP INC COM,"AVIS BUDGET GROUP, INC.","9,365 M",Industrials,Road & Rail,Trucking
CASY,CASEY'S GENERAL STORES INC COM,CASEY'S GENERAL STORES INCORPORATED,"7,823 M",Consumer Staples,Food & Staples Retailing,Food Retail
