Watchlist 'S&P 600'

S&P 600
Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
AAN,THE AARONS COMPANY INC COM,AARON'S COMPANY INC,560 M,Consumer Discretionary,Specialty Retail,Homefurnishing Retail
AAOI,APPLIED OPTOELECTRONICS INC COM,APPLIED OPTOELECTRONICS INC,62 M,Information Technology,Communications Equipment,Communications Equipment
AAON,AAON INC COM,"AAON, INC.","2,939 M",Industrials,Building Products,Building Products
AAT,AMERICAN ASSETS TRUST INC COM USD0.01,"AMERICAN ASSETS TRUST, INC","1,991 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
AAWW,ATLAS AIR WORLDWIDE HLDGS INC COM,ATLAS AIR WORLDWIDE HOLDINGS INCORPORATED,"1,997 M",Industrials,Air Freight & Logistics,Air Freight & Logistics
ABCB,AMERIS BANCORP COM,AMERIS BANCORP,"3,146 M",Financials,Banks,Regional Banks
ABG,ASBURY AUTOMOTIVE GROUP INC COM,"ASBURY AUTOMOTIVE GROUP, INCORPORATED","3,877 M",Consumer Discretionary,Specialty Retail,Automotive Retail
ABM,ABM INDUSTRIES INC COM,ABM INDUSTRIES INCORPORATED,"3,275 M",Industrials,Commercial Services & Supplies,Environmental & Facilities Services
ABTX,ALLEGIANCE BANCSHA COM,ALLEGIANCE BANCSHARES INC,828 M,Financials,Banks,Regional Banks
ACA,ARCOSA INC COM,ARCOSA INC,"2,570 M",Industrials,Construction & Engineering,Construction & Engineering
ACLS,AXCELIS TECHNOLOGIES INC COM,"AXCELIS TECHNOLOGIES, INC.","2,067 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
ADC,AGREE REALTY CORP COM USD0.0001,AGREE REALTY CORPORATION,"5,253 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Retail REITs
ADTN,ADTRAN INC COM,"ADTRAN, INC.",952 M,Information Technology,Communications Equipment,Communications Equipment
ADUS,ADDUS HOMECARE CORP COM,ADDUS HOMECARE CORPORATION,"1,330 M",Health Care,Health Care Providers & Services,Health Care Services
AEGN,AEGION CORPORATION CSH MRG $30.00/SH 5/18/21,AEGION CORPORATION,<empty>,Industrials,Construction & Engineering,Construction & Engineering
AEIS,ADVANCED ENERGY INDUSTRIES COM,"ADVANCED ENERGY INDUSTRIES, INC.","3,058 M",Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments
AEL,AMER EQY INVEST LIFE HOLDING C COM,AMERICAN EQUITY INVESTMENT LIFE HOLDING COMPANY,"3,739 M",Financials,Insurance,Life & Health Insurance
AGO,ASSURED GUARANTY LTD COM,<empty>,"3,741 M",Financials,Insurance,Property & Casualty Insurance
AGYS,AGILYSYS INC COM,"AGILYSYS, INC.","1,034 M",Information Technology,Software,Application Software
AHH,ARMADA HOFFLER PPTYS INC COM USD0.01,ARMADA HOFFLER PROPERTIES INC,938 M,Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
AIN,ALBANY INTERNATIONAL CORP COM CL A,ALBANY INTERNATIONAL CORP,"2,676 M",Industrials,Machinery,Industrial Machinery
AIR,AAR CORP COM,AAR CORP.,"1,738 M",Industrials,Aerospace & Defense,Aerospace & Defense
AIT,APPLIED INDL TECHS COM,"APPLIED INDUSTRIAL TECHNOLOGIES, INC.","4,039 M",Industrials,Trading Companies & Distributors,Trading Companies & Distributors
